Date,Close,Dif,Volume,Empresa,Symbol,target,moment,Action,coef_3,coef_7,coef_10,coef_15,coef_20,coef_30
2000-02-15,0.0039056438493226234,-0.02372432860804769,0.1662128374692819,Apple,AAPL,0,hold,0,-0.03121062270319392,0.0657883460013025,0.038399354595499646,0.07069276525785831,0.1040235105458538,0.11709829176946171
2000-02-16,0.0037003816307144785,0.05127487073934363,-0.11055058741169169,Apple,AAPL,0,hold,0,0.00026466664050530997,0.04734428880248826,0.04612936747847296,0.05960907597324669,0.09964570382416785,0.11373609181725775
2000-02-17,0.003731963210154531,0.01758848263123615,-0.3390433336876694,Apple,AAPL,0,hold,0,0.0657540666097323,0.044309513849241415,0.06060771965582631,0.05403231481661592,0.0944645851968452,0.11169649749503821
2000-02-18,0.003579333866533254,0.04873259795188791,-0.4833651654785918,Apple,AAPL,0,hold,0,0.020063269059584145,0.04693948383221387,0.06895101411960891,0.05661124100947994,0.09025200087714635,0.1125171201391984
2000-02-22,0.0036872229980284906,-0.023088812552565605,0.002859555332303843,Apple,AAPL,0,hold,0,0.05560037858697126,0.05847094127150105,0.07378521698842339,0.0619333679805187,0.09137811224843168,0.11340411473855366
2000-02-23,0.0037898531138783136,-0.016256083232849407,0.13365752316519572,Apple,AAPL,0,hold,0,0.005342373088344559,0.07860121274022386,0.07189568902669166,0.06950190060593515,0.0877037182481871,0.1143362852583905
2000-02-24,0.003745775204585271,0.03586221511948012,-0.11522194340572353,Apple,AAPL,0,hold,0,0.006356917784671276,0.0709473382502173,0.07017806827705544,0.07818742992420322,0.0840446971481354,0.11647815937113411
2000-02-25,0.0035424892976307896,0.059538154772795136,-0.4429377512586371,Apple,AAPL,0,hold,0,0.03465914368640509,0.054551767404548535,0.06980995727946232,0.08562347079291677,0.08145318815257375,0.12120339429079034
2000-02-28,0.003663541366780428,-0.017368834967354706,-0.23907054830922234,Apple,AAPL,0,hold,0,0.0653728058108104,0.06549348837429542,0.08701832654654268,0.09412613476998999,0.0870042556423975,0.12491248046493553
2000-02-29,0.003721436900078291,0.0036052829848056732,-0.13445524246757073,Apple,AAPL,1,sell,1,0.002803040733059012,0.06180106180885854,0.08648458011374618,0.09451008723537335,0.09019537594267504,0.12688072348156884
2000-03-01,0.004381952177729189,-0.10507907210397859,1.6884693453762911,Apple,AAPL,1,sell,1,0.01498690417956954,0.06633577871148902,0.07652757691036845,0.09281192258444597,0.09536206288751667,0.12759677826362806
2000-03-02,0.00403196122599459,0.06525808817691421,-0.28301589729011456,Apple,AAPL,1,sell,1,-0.10126767781017453,0.02251872435601096,0.049785773261822416,0.0798988166204415,0.09361426125603736,0.12303721389601655
2000-03-03,0.004284585382493192,-0.017368901355207866,-0.25184468846574154,Apple,AAPL,0,hold,0,0.09367445675490539,0.009722426943095346,0.040982001912412434,0.07554777461780857,0.09563688249854733,0.11924377887305003
2000-03-06,0.004187222561074197,0.01758848364242806,-0.5422761549588824,Apple,AAPL,0,hold,0,-0.022579230856288754,-0.009100671090908617,0.03266918007017793,0.07187038512664565,0.09260528505784972,0.11454344304472161
2000-03-07,0.004068799834171556,0.05063930725766641,-0.3814892350655391,Apple,AAPL,0,hold,0,0.04493861966377017,0.010354806620409631,0.029534193327527512,0.06573714360556933,0.08835524211112865,0.1124988240885787
2000-03-08,0.00403196122599459,0.02330847235331453,-0.3860740844670889,Apple,AAPL,0,hold,0,0.04900139811019012,0.043061883910512,0.03069379268713294,0.06016244745687512,0.0858770879404419,0.10979163237338607
2000-03-09,0.004042485218010913,0.00042757245625236356,-0.37194467436168394,Apple,AAPL,0,hold,0,0.03326257158097097,0.08332158247001238,0.03788385529694778,0.060649044666102374,0.08575887708995829,0.10822771431293368
2000-03-10,0.004189852896775445,-0.026902178086740614,-0.4443218567383503,Apple,AAPL,0,hold,0,0.024125600316729136,0.0716215210004657,0.05682840433834103,0.06121776211461609,0.08554072787818097,0.10690016258504066
2000-03-13,0.004003009982255784,0.022673986491341638,-0.30181666338955143,Apple,AAPL,2,buy,1,-0.002273643567866241,0.07317240142838913,0.06929447033300679,0.0633387366237616,0.08684465636329083,0.10746085959629388
2000-03-14,0.0037056442890254743,0.08527883552902736,0.019036288126451185,Apple,AAPL,2,buy,1,0.06220070063157705,0.06808129462038744,0.09093836312101426,0.06863015771227392,0.08730687793470875,0.10917682622069538
2000-03-15,0.0037898531138783136,0.008055352748113332,0.057733570496764426,Apple,AAPL,2,buy,1,0.08352223806833296,0.08355813983086871,0.09550293516793357,0.07853740691116087,0.09005600268736316,0.11448203272754036
2000-03-16,0.004013536954634857,-0.02880875984106903,-0.11092544931244733,Apple,AAPL,0,hold,0,0.009910667067919236,0.09192057046676311,0.10693835768826358,0.08750527903878064,0.09440407012154003,0.1199479165669113
2000-03-17,0.0041582719796382245,-0.03516417730877422,-0.2990196168992978,Apple,AAPL,0,hold,0,-0.016996200527841118,0.0821082325786069,0.0959938445307958,0.09683137578265369,0.09548120576602312,0.12276997856537272
2000-03-20,0.004074061167876886,0.019496275589953052,-0.55790501266731,Apple,AAPL,0,hold,0,-0.0017657643199726586,0.061607241004091665,0.0816626891969089,0.10185786090048558,0.09729629430692575,0.12346345424338062
2000-03-21,0.004576690404321007,-0.11143574491520314,0.26555124116952716,Apple,AAPL,1,sell,1,0.04240139548649465,0.03625074104064473,0.07572419347962829,0.10878157877791694,0.09948812676050632,0.1231809638768415
2000-03-22,0.004966157585264985,-0.10158352095874053,0.37798097586539253,Apple,AAPL,1,sell,1,-0.07080904134081183,-0.007516121622817661,0.05280408519093921,0.09114790652947623,0.09413888227285658,0.11927865705110434
2000-03-23,0.004845107834175261,0.02140176022277087,0.36399574341412433,Apple,AAPL,1,sell,1,-0.048978346972519834,-0.034861797814209984,0.01994565006846302,0.0744135116473863,0.08546307403121826,0.11376833853754659
2000-03-24,0.0047345800881933645,0.052545862142605634,0.06624005209083478,Apple,AAPL,0,hold,0,0.04950819132698745,-0.02970280556529519,-0.006655327330278465,0.057137112127156206,0.0831300419923756,0.10950485895341479
2000-03-27,0.004771425981701495,-0.005292279746875224,-0.3656008575796653,Apple,AAPL,0,hold,0,0.04747833532414852,-0.010483117212782765,-0.014311588934326784,0.046131429085789266,0.08238442054157136,0.10812688560059334
2000-03-28,0.004753005353007345,-0.004657929667296383,-0.5618266448598305,Apple,AAPL,0,hold,0,0.019047702216343436,0.01187210711337538,-0.0026554035730500724,0.03885860497674845,0.08187317632756579,0.10487392155748933
2000-03-29,0.0046187982938373,0.04936831371821914,-0.4669000773761709,Apple,AAPL,0,hold,0,0.02970946113954431,0.0586734434696118,0.015700129580696092,0.03501471311018178,0.07349039972766194,0.10123985097883073
2000-03-30,0.004189852896775445,0.09385882769931189,-0.017469493900982923,Apple,AAPL,0,hold,0,0.05204643765117685,0.08638978036332255,0.037613764359465764,0.03589751485515455,0.07252557466908112,0.10053506177024783
2000-03-31,0.0046135336486178066,-0.07075834995070569,-0.04261407678243832,Apple,AAPL,0,hold,0,0.10890597899387,0.10773376663050278,0.0744230329204894,0.04383137663363885,0.07436664536532869,0.10308488502557545
2000-04-03,0.0045082678986440704,0.036656098847762345,-0.23846500216184782,Apple,AAPL,0,hold,0,-0.05557866901712584,0.09289760485431182,0.09964969138178804,0.04754370744402678,0.07192208338055751,0.10402797121588161
2000-04-04,0.00425564076178272,0.06843577466593562,0.6157010920061246,Apple,AAPL,0,hold,0,0.046463215670182766,0.08878447440322446,0.11039808104238376,0.06225769204981549,0.07321354242381357,0.10541993818253395
2000-04-05,0.004384588474155933,-0.025314403936764384,0.09392216168509761,Apple,AAPL,0,hold,0,0.0748914850632491,0.09175178398297801,0.11177240306785023,0.0826305435819961,0.07900572754614181,0.10823404682213765
2000-04-06,0.0041661679540132175,0.06970690164360083,-0.41594769440423085,Apple,AAPL,0,hold,0,0.0012798501786534325,0.07489242051783321,0.10735528108237136,0.09660525482976982,0.08327587366501361,0.11070588164319874
2000-04-07,0.004442480033636799,-0.03135102803869938,-0.460210234224224,Apple,AAPL,0,hold,0,0.06829250458646796,0.07462252507901879,0.11194436586437864,0.11278115033189622,0.08876443868817482,0.11658172013417782
2000-04-10,0.0041582719796382245,0.08241899774174359,-0.5378931542731241,Apple,AAPL,0,hold,0,-0.027148994172052267,0.08352426712164897,0.09920841891786795,0.1253474000754413,0.09331522729579655,0.1199040615553482
2000-04-11,0.003924063815713939,0.05572480766009636,0.31059234032185895,Apple,AAPL,2,buy,1,0.08098392785996152,0.07910707574826484,0.09486497409873637,0.13306371254434504,0.10658704370703093,0.12518899056464763
2000-04-12,0.0034951200744091668,0.11356310659910357,1.338665520909622,Apple,AAPL,2,buy,1,0.07133818296927631,0.08746947243931724,0.09996912276790137,0.13510887552713924,0.12236871243141205,0.12734946718556409
2000-04-13,0.0036872229980284906,-0.009105617238706407,0.27970948680575947,Apple,AAPL,2,buy,1,0.10890565957295914,0.1310002317541851,0.1345944079197787,0.1454370147883272,0.14071785717760457,0.13495816907372957
2000-04-14,0.003605646495785398,-0.01164898514519515,0.634473022574734,Apple,AAPL,0,hold,0,-0.010903757731128805,0.13116872970681323,0.13582135399638276,0.15024185003652477,0.153670665112106,0.13902680013850455
2000-04-17,0.004110906067930768,-0.13177434919517705,-0.029926443218401193,Apple,AAPL,0,hold,0,0.04189319681769064,0.1382831951986631,0.13636126412522798,0.15257028187827593,0.16823775815724665,0.14410722370647583
2000-04-18,0.004237221457694236,-0.0199110474099144,-0.07790876651512343,Apple,AAPL,0,hold,0,-0.07131647339943066,0.07388052902064664,0.12141660178477444,0.14144136705948868,0.16813780286757687,0.1462211894617695
2000-04-19,0.003995117319394958,0.06589365850009322,0.25479558817092296,Apple,AAPL,0,hold,0,0.0017876655423645445,0.018379587912839338,0.0943983921895177,0.12888739574151142,0.16000869604924023,0.1477428949159407
2000-04-20,0.003900382184465877,0.06335137695729724,0.7747867155806537,Apple,AAPL,0,hold,0,0.07286143740786415,0.0014191367081913264,0.08522054069198269,0.13009469363977602,0.15576541816528658,0.15099882762037795
2000-04-24,0.003968800054022982,-0.04152092304408684,0.057762406027591785,Apple,AAPL,1,sell,1,0.044431698678608536,0.03082178122012614,0.06509808030823408,0.12269864292100241,0.1531403039247764,0.15378468251116675
2000-04-25,0.004297743684027765,-0.048511930996312534,-0.07606329254217258,Apple,AAPL,1,sell,1,0.012956984292548565,0.048996413964809,0.050619839299747144,0.11415287991317132,0.14785927402156168,0.15735534812498356
2000-04-26,0.004003009982255784,0.06843564593257218,-0.1397321446089771,Apple,AAPL,1,sell,1,-0.03730242665808504,0.06062954893522942,0.0330250933726842,0.1031636595739643,0.13735101307812697,0.1608357235569644
2000-04-27,0.00423195482556624,-0.08283376516587668,-0.24351122005663534,Apple,AAPL,0,hold,0,0.083014486588804,0.06356311734202608,0.0499083956097195,0.09526665581000923,0.13201229078540924,0.16605960100827846
2000-04-28,0.004118801711154344,0.045555031083632326,-0.4418131655563702,Apple,AAPL,0,hold,0,-0.018011128529260532,0.03773461435044228,0.054031176404674766,0.08664692458996869,0.12902969518958024,0.1680806376045642
2000-05-01,0.004129326034322084,0.020130623924586852,-0.5020217539238918,Apple,AAPL,0,hold,0,0.04798480912003509,0.04073528746678566,0.07125785456648144,0.07406016636169753,0.12140786941056395,0.1699157485423792
2000-05-02,0.003858273301495334,0.06907134389951093,-0.47566607874768746,Apple,AAPL,0,hold,0,0.0241255364325472,0.05472830604162752,0.06931918996570734,0.06690237962796299,0.11446258666706749,0.17229398280506084
