Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Empresa,Symbol
2000-01-03,36.45797221820412,36.84623603309447,34.7884378141756,36.20560073852539,53228400,0.0,0.0,Microsoft,MSFT
2000-01-04,35.27376851707399,36.380320418820396,34.866091500641105,34.98257064819336,54119000,0.0,0.0,Microsoft,MSFT
2000-01-05,34.51666157956571,36.147370000647555,33.973092105871764,35.3514289855957,64059600,0.0,0.0,Microsoft,MSFT
2000-01-06,34.846655618060716,35.37081144072793,33.66245172240517,34.16719436645508,54976600,0.0,0.0,Microsoft,MSFT
2000-01-07,33.74012261699306,34.86608758349801,33.33244564636196,34.61371612548828,62013600,0.0,0.0,Microsoft,MSFT
2000-01-10,35.23493947324349,35.312592232413174,34.59430421009361,34.8660888671875,44963600,0.0,0.0,Microsoft,MSFT
2000-01-11,34.63312030901228,35.487300406319754,33.759527027675084,33.97307205200195,46743600,0.0,0.0,Microsoft,MSFT
2000-01-12,33.70129464831636,33.817773777285204,32.43943741782065,32.86652755737305,66532400,0.0,0.0,Microsoft,MSFT
2000-01-13,32.420018226512965,33.74011477705361,31.52701173644135,33.48774337768555,83144000,0.0,0.0,Microsoft,MSFT
2000-01-14,33.29362049400143,35.39024499158286,32.84711712877575,34.8660888671875,73416400,0.0,0.0,Microsoft,MSFT
2000-01-18,34.73019095320043,36.18617995347434,34.71077776653011,35.81732940673828,81483600,0.0,0.0,Microsoft,MSFT
2000-01-19,34.322504988340576,34.633115893212434,32.9247559164172,33.23536682128906,97568200,0.0,0.0,Microsoft,MSFT
2000-01-20,33.25479843931378,34.07015251663496,32.885947785287534,32.924774169921875,56349800,0.0,0.0,Microsoft,MSFT
2000-01-21,33.2353807931923,33.3130335520549,32.07058941025332,32.225894927978516,68416200,0.0,0.0,Microsoft,MSFT
2000-01-24,32.24045891938386,32.82770798294632,31.313478992603443,31.449371337890625,63597600,0.0,0.0,Microsoft,MSFT
2000-01-25,31.371719332523984,32.26472619471217,30.925215901429894,31.934701919555664,59823200,0.0,0.0,Microsoft,MSFT
2000-01-26,31.818222207843135,32.14824647723504,30.789323015033077,30.866975784301758,49365000,0.0,0.0,Microsoft,MSFT
2000-01-27,31.027150128762933,31.4299740706818,30.206942343410056,30.67285919189453,63654800,0.0,0.0,Microsoft,MSFT
2000-01-28,30.478704066676947,31.138752434999887,30.206919444426326,30.51753044128418,58225400,0.0,0.0,Microsoft,MSFT
2000-01-31,30.323399722804513,30.498118415189428,29.469219448922694,30.401052474975586,73194200,0.0,0.0,Microsoft,MSFT
2000-02-01,30.59518942169949,32.07059195726368,30.342817935352983,31.973526000976562,70196600,0.0,0.0,Microsoft,MSFT
2000-02-02,31.818225334389787,32.28414199578415,31.216416313422073,31.3134822845459,49915600,0.0,0.0,Microsoft,MSFT
2000-02-03,31.7017504619603,32.36179915498336,31.099941359498104,32.18708038330078,49186000,0.0,0.0,Microsoft,MSFT
2000-02-04,32.42001074290346,33.54597518786657,32.34721131758256,33.09947204589844,55365400,0.0,0.0,Microsoft,MSFT
2000-02-07,33.17713604442959,33.196549231114446,32.381195390350236,33.118896484375,40005800,0.0,0.0,Microsoft,MSFT
2000-02-08,33.060669216396725,34.16722126885393,33.060669216396725,34.14780807495117,56229000,0.0,0.0,Microsoft,MSFT
2000-02-09,33.99249436992865,33.99249436992865,32.26472052702537,32.30354690551758,55090000,0.0,0.0,Microsoft,MSFT
2000-02-10,32.26957892921736,33.09949290077641,31.837635400160305,32.924774169921875,54527800,0.0,0.0,Microsoft,MSFT
2000-02-11,32.57533483880993,32.57533483880993,30.789321248124285,31.04169273376465,115559000,0.0,0.0,Microsoft,MSFT
2000-02-14,31.44452520386039,31.604684075866473,30.769916621774176,30.94463539123535,81028600,0.0,0.0,Microsoft,MSFT
2000-02-15,30.983455611998778,31.061108382956167,30.47871260077574,30.614604949951172,71027600,0.0,0.0,Microsoft,MSFT
2000-02-16,30.828158912219095,31.119356886830737,30.16811016976604,30.323415756225586,65202600,0.0,0.0,Microsoft,MSFT
2000-02-17,30.595197852312996,30.96404858784215,30.17296082611515,30.94463539123535,80343400,0.0,0.0,Microsoft,MSFT
2000-02-18,31.06111003567246,31.080523229444754,29.469228146344246,29.527467727661133,79063000,0.0,0.0,Microsoft,MSFT
2000-02-22,29.54686175657065,30.16808355434349,28.828574052895807,29.139184951782227,66296200,0.0,0.0,Microsoft,MSFT
2000-02-23,29.04213288608217,29.741007741629605,28.59562950614909,29.27509117126465,75847200,0.0,0.0,Microsoft,MSFT
2000-02-24,29.27509340573112,29.779836395485106,28.576218496840987,29.43039894104004,69733200,0.0,0.0,Microsoft,MSFT
2000-02-25,29.41098514768377,29.415838445562926,28.110301316070032,28.362672805786133,65301400,0.0,0.0,Microsoft,MSFT
2000-02-28,28.032655292810432,28.615051178395138,27.3726066224811,28.440332412719727,76131800,0.0,0.0,Microsoft,MSFT
2000-02-29,28.498567503815767,28.498567503815767,27.605560620181212,27.760866165161133,58437400,0.0,0.0,Microsoft,MSFT
2000-03-01,27.838508779233027,29.226551580986975,27.62496373280934,28.207359313964844,106889800,0.0,0.0,Microsoft,MSFT
2000-03-02,28.517979443153063,29.624531402485754,28.304434328194123,29.00330924987793,106932600,0.0,0.0,Microsoft,MSFT
2000-03-03,29.43039465756658,30.711665137381484,29.158610010333117,29.857484817504883,101435200,0.0,0.0,Microsoft,MSFT
2000-03-06,29.818674568965516,30.245764959927264,27.993833807583513,28.149139404296875,93609400,0.0,0.0,Microsoft,MSFT
2000-03-07,29.857485425905455,30.284575594546496,28.556801730498652,28.847999572753906,135061000,0.0,0.0,Microsoft,MSFT
2000-03-08,29.139198541485307,29.876899770383666,28.26560498094777,29.682767868041992,94290000,0.0,0.0,Microsoft,MSFT
2000-03-09,29.60512003302574,31.06110954284668,29.508054065704346,31.06110954284668,88198800,0.0,0.0,Microsoft,MSFT
2000-03-10,30.925206527851596,31.83762630613724,30.905793341079562,31.3717098236084,85589000,0.0,0.0,Microsoft,MSFT
2000-03-13,30.32339363682027,31.138747370972926,30.284567268527287,30.43987274169922,61831800,0.0,0.0,Microsoft,MSFT
2000-03-14,30.6340175884312,30.828149512312258,29.546878814697266,29.546878814697266,73489200,0.0,0.0,Microsoft,MSFT
2000-03-15,29.37216308013796,30.012798494311493,29.100378358973433,29.624534606933594,53208000,0.0,0.0,Microsoft,MSFT
2000-03-16,29.799253356253647,30.032211688680388,28.96448599839117,29.624534606933594,77300800,0.0,0.0,Microsoft,MSFT
2000-03-17,29.585705091368478,30.905802168936102,29.352746783562427,30.866975784301758,81161600,0.0,0.0,Microsoft,MSFT
2000-03-20,30.672852218686693,30.983463380394912,29.973977104843197,30.24576187133789,47773000,0.0,0.0,Microsoft,MSFT
2000-03-21,30.051627806503408,32.03177382476139,29.973975021473684,31.915294647216797,81648800,0.0,0.0,Microsoft,MSFT
2000-03-22,31.934694839736164,32.808288315595206,31.410538754220738,32.070587158203125,93975800,0.0,0.0,Microsoft,MSFT
2000-03-23,33.177153400868676,35.06023349442295,33.11891381034638,34.7496223449707,148224000,0.0,0.0,Microsoft,MSFT
2000-03-24,34.982577472808444,35.72027888455468,34.031330915556715,34.69137954711914,112196800,0.0,0.0,Microsoft,MSFT
2000-03-27,33.47319135579977,33.62364357155006,32.2841335216442,32.322959899902344,111434000,0.0,0.0,Microsoft,MSFT
2000-03-28,32.18706680215569,33.371271310558285,31.798803028908942,32.400611877441406,81114400,0.0,0.0,Microsoft,MSFT
2000-03-29,32.67239149221526,33.837182632757695,32.65297830653955,33.29361343383789,64363800,0.0,0.0,Microsoft,MSFT
2000-03-30,32.98301836772582,33.74013297416567,31.837639860547583,32.10942459106445,64178400,0.0,0.0,Microsoft,MSFT
2000-03-31,32.92477338005514,33.62364828670726,32.34237762451172,33.00242614746094,64281400,0.0,0.0,Microsoft,MSFT
2000-04-03,29.333331833515402,29.9739671415935,27.954995261589794,28.22677993774414,260118200,0.0,0.0,Microsoft,MSFT
2000-04-04,28.440328623597352,28.57622097879543,26.382530102026486,27.508495330810547,181244400,0.0,0.0,Microsoft,MSFT
2000-04-05,27.411418947918197,27.48907169281315,26.67371787141615,26.829023361206055,82887600,0.0,0.0,Microsoft,MSFT
2000-04-06,27.294948802437894,27.33377518764762,26.48444801118485,26.712553024291992,66421400,0.0,0.0,Microsoft,MSFT
2000-04-07,27.023154618112663,27.760855678089875,26.401932672868693,27.663789749145508,82613600,0.0,0.0,Microsoft,MSFT
2000-04-10,27.527902981294787,27.527902981294787,26.712549014288875,26.731962203979492,60685400,0.0,0.0,Microsoft,MSFT
2000-04-11,26.44075968155385,26.73195747540356,25.936016838881017,26.0524959564209,71961800,0.0,0.0,Microsoft,MSFT
2000-04-12,25.508935114342396,25.547761499600146,24.46062271238312,24.654754638671875,153003800,0.0,0.0,Microsoft,MSFT
2000-04-13,25.120665827008075,25.54775597244407,24.53827017414081,24.615922927856445,94316200,0.0,0.0,Microsoft,MSFT
2000-04-14,24.5771114999086,24.69359070132997,22.752270677640507,23.02405548095703,151217800,0.0,0.0,Microsoft,MSFT
2000-04-17,23.062866908518053,23.60643616225417,22.6746031558494,23.567609786987305,119772200,0.0,0.0,Microsoft,MSFT
2000-04-18,23.76174057870988,25.45068782572602,23.56760871123676,25.023597717285156,91794600,0.0,0.0,Microsoft,MSFT
2000-04-19,25.29539027831401,25.31480347115999,24.266491057476987,24.44120979309082,53715400,0.0,0.0,Microsoft,MSFT
2000-04-20,24.421792009947136,24.81005579388906,24.0723546043994,24.518857955932617,52387400,0.0,0.0,Microsoft,MSFT
2000-04-24,20.888587958817187,21.12154618884117,20.189713268745237,20.694456100463867,313645800,0.0,0.0,Microsoft,MSFT
2000-04-25,21.354511192253042,21.58746949616853,21.005073736379813,21.548643112182617,159517400,0.0,0.0,Microsoft,MSFT
2000-04-26,21.742775580462286,22.092213045148288,20.927421496194953,21.121553421020508,107091200,0.0,0.0,Microsoft,MSFT
2000-04-27,20.94683098174038,21.723358543621394,20.927417792693355,21.684532165527344,77669800,0.0,0.0,Microsoft,MSFT
2000-04-28,21.97574180685064,22.053394604754704,21.19921382780998,21.665130615234375,78082600,0.0,0.0,Microsoft,MSFT
2000-05-01,22.635767224900267,22.985204454787237,22.266916815575133,22.81048583984375,107811000,0.0,0.0,Microsoft,MSFT
2000-05-02,22.616372987068193,22.82991813973579,21.587473615124317,21.70395278930664,97716200,0.0,0.0,Microsoft,MSFT
2000-05-03,21.859250439490967,21.995142760162757,21.373920722805998,21.917490005493164,55354800,0.0,0.0,Microsoft,MSFT
2000-05-04,21.83983573473547,22.131033544531945,21.529224737619234,21.878662109375,43317200,0.0,0.0,Microsoft,MSFT
2000-05-05,21.820416683471894,22.30574623604022,21.703937590855496,22.092201232910156,36402200,0.0,0.0,Microsoft,MSFT
2000-05-08,22.0339695683738,22.169861891702975,21.645705787433293,21.684532165527344,36187600,0.0,0.0,Microsoft,MSFT
2000-05-09,21.80101182471772,21.878664582775485,20.966244675596737,21.063310623168945,60778400,0.0,0.0,Microsoft,MSFT
2000-05-10,21.043900674418303,21.082727059426457,20.422678514287874,20.558570861816406,67740000,0.0,0.0,Microsoft,MSFT
2000-05-11,20.69446170308094,21.160378289266625,20.422677027805953,21.082725524902344,58390800,0.0,0.0,Microsoft,MSFT
2000-05-12,21.257447001070027,21.665124066843973,21.199207420245177,21.373926162719727,37886000,0.0,0.0,Microsoft,MSFT
2000-05-15,21.432163960224873,21.568056304175574,21.121552888337558,21.548643112182617,33899600,0.0,0.0,Microsoft,MSFT
2000-05-16,21.6068746563342,21.936898797536067,21.451569178121552,21.587461471557617,48410600,0.0,0.0,Microsoft,MSFT
2000-05-17,21.393331360398676,21.470984105808473,20.888588515235007,21.02448081970215,53242000,0.0,0.0,Microsoft,MSFT
2000-05-18,21.140966636938682,21.140966636938682,20.461504899296028,20.558570861816406,53640400,0.0,0.0,Microsoft,MSFT
2000-05-19,20.306204859049245,20.48092363890722,20.034420090381282,20.209138870239258,66578000,0.0,0.0,Microsoft,MSFT
2000-05-22,20.22853947521533,20.26736584656891,19.393772491113353,19.937341690063477,69955000,0.0,0.0,Microsoft,MSFT
2000-05-23,19.840278855653004,20.364434950665363,19.587907402498903,19.626733779907227,57963200,0.0,0.0,Microsoft,MSFT
2000-05-24,19.607328173089186,20.675053964693053,19.568501780667226,20.364442825317383,85482400,0.0,0.0,Microsoft,MSFT
2000-05-25,20.053819427645305,20.112058980678157,18.986094288709687,19.10257339477539,94348800,0.0,0.0,Microsoft,MSFT
2000-05-26,19.277294172517887,19.452012850818654,18.75313813761559,19.083162307739258,55822000,0.0,0.0,Microsoft,MSFT
