Open,High,Low,Close,Volume,Dividends,Stock Splits,Empresa,Symbol
4455.428952281097,4537.11181640625,4202.954644985168,4537.11181640625,74195000,0.0,0.0,Samsung,005930.KS
4306.913537466397,4499.982075352822,4098.993573588709,4143.5478515625,74680000,0.0,0.0,Samsung,005930.KS
4269.784752245051,4292.061890082851,4143.547637830849,4173.25048828125,54390000,0.0,0.0,Samsung,005930.KS
4128.6961515681405,4210.378989099166,3980.181901511733,4113.8447265625,40305000,0.0,0.0,Samsung,005930.KS
4158.400536178509,4284.6376953125,4143.549105692157,4284.6376953125,46880000,0.0,0.0,Samsung,005930.KS
4321.76627152838,4529.686298337305,4284.6376953125,4284.6376953125,59745000,0.0,0.0,Samsung,005930.KS
4165.824012169471,4262.358258440778,4158.398300917832,4247.5068359375,29220000,0.0,0.0,Samsung,005930.KS
4158.39775339317,4262.357697227999,4128.694912297504,4240.08056640625,41190000,0.0,0.0,Samsung,005930.KS
4247.508070459905,4366.319485018224,4217.805216820326,4329.19091796875,49375000,0.0,0.0,Samsung,005930.KS
4455.427446209016,4589.090269595286,4396.02174692623,4529.6845703125,63505000,0.0,0.0,Samsung,005930.KS
4574.23884477459,4574.23884477459,4440.5760213883195,4529.6845703125,45260000,0.0,0.0,Samsung,005930.KS
4455.4279506606545,4485.130803665058,4425.72509765625,4425.72509765625,40205000,0.0,0.0,Samsung,005930.KS
4351.468019194951,4485.130859375,4321.765165821606,4485.130859375,37315000,0.0,0.0,Samsung,005930.KS
4418.298833937872,4440.57597091571,4366.31884765625,4366.31884765625,32535000,0.0,0.0,Samsung,005930.KS
4306.9143708881575,4381.171515213816,4232.6572265625,4232.6572265625,34355000,0.0,0.0,Samsung,005930.KS
4098.991117589614,4188.09962014591,4039.58544921875,4039.58544921875,44250000,0.0,0.0,Samsung,005930.KS
4084.1434228159214,4098.994853444343,4017.311984988025,4069.2919921875,29285000,0.0,0.0,Samsung,005930.KS
4069.290799790534,4173.2507837267885,4032.1622340990148,4098.99365234375,27900000,0.0,0.0,Samsung,005930.KS
4188.101351079253,4366.318429848583,4113.8442349253655,4321.76416015625,38315000,0.0,0.0,Samsung,005930.KS
4188.10212953629,4254.933546496975,4128.696425571236,4143.5478515625,39630000,0.0,0.0,Samsung,005930.KS
4158.399465460527,4217.805172109963,3905.925212200423,3950.4794921875,71470000,0.0,0.0,Samsung,005930.KS
3876.2218861607143,3987.6075725446426,3794.5390494791664,3898.4990234375,64105000,0.0,0.0,Samsung,005930.KS
3898.4974286709617,4054.4373258178002,3690.5775658085104,3809.388916015625,142765000,0.0,0.0,Samsung,005930.KS
3809.3889160156255,3809.3889160156255,3809.3889160156255,3809.388916015625,0,0.0,0.0,Samsung,005930.KS
3816.8161192449907,3957.9046528357585,3742.558996302481,3891.0732421875,64140000,0.0,0.0,Samsung,005930.KS
3965.330213009323,4069.2901811406537,3943.0530769811808,4032.16162109375,58460000,0.0,0.0,Samsung,005930.KS
4128.6954559112755,4247.5068359375,4069.289765898164,4247.5068359375,51050000,0.0,0.0,Samsung,005930.KS
4202.954282972548,4366.319997151692,4158.399997287326,4277.21142578125,61845000,0.0,0.0,Samsung,005930.KS
4425.725801809211,4425.725801809211,4217.805797697369,4232.6572265625,34660000,0.0,0.0,Samsung,005930.KS
4158.398619017193,4202.952889935234,3965.3301117056803,3995.032958984375,44140000,0.0,0.0,Samsung,005930.KS
3995.0326763446515,4024.735521521935,3816.8156052809495,3861.369873046875,38315000,0.0,0.0,Samsung,005930.KS
3846.5195302734373,3861.37095703125,3549.4909951171876,3712.856689453125,73115000,0.0,0.0,Samsung,005930.KS
3668.3010378860113,3787.1124075341413,3646.023906076987,3772.260986328125,65185000,0.0,0.0,Samsung,005930.KS
3987.606189655808,4180.674645765773,3831.66628279776,3935.626220703125,108750000,0.0,0.0,Samsung,005930.KS
3861.36969150641,3905.923957177638,3735.132605437931,3764.83544921875,26485000,0.0,0.0,Samsung,005930.KS
3712.857246398926,3891.074394226074,3712.857246398926,3801.9658203125,24180000,0.0,0.0,Samsung,005930.KS
3876.2211173090955,3905.9239611198927,3787.1125858767023,3816.8154296875,27720000,0.0,0.0,Samsung,005930.KS
3801.964003944773,3891.0725352872287,3757.4097382735454,3764.83544921875,26075000,0.0,0.0,Samsung,005930.KS
3772.2629623413086,3824.2429637908936,3698.00581741333,3801.9658203125,27875000,0.0,0.0,Samsung,005930.KS
3712.8557840983076,3749.9843419392905,3564.341552734375,3564.341552734375,30140000,0.0,0.0,Samsung,005930.KS
3638.6001014709473,3816.8172492980957,3594.04581451416,3801.9658203125,51820000,0.0,0.0,Samsung,005930.KS
3801.9658203125,3801.9658203125,3801.9658203125,3801.9658203125,0,0.0,0.0,Samsung,005930.KS
4366.31884765625,4366.31884765625,4098.993203922194,4366.31884765625,117750000,0.0,0.0,Samsung,005930.KS
4603.943001302083,4641.0715738932295,4366.32013671875,4455.4287109375,140990000,0.0,0.0,Samsung,005930.KS
4455.425635804521,4492.554182769559,4158.39726008422,4188.10009765625,39150000,0.0,0.0,Samsung,005930.KS
4158.399063056049,4188.10191350645,4069.2905117048485,4173.25048828125,30070000,0.0,0.0,Samsung,005930.KS
4098.994371568834,4455.428664748733,4084.1429426863388,4396.02294921875,32460000,0.0,0.0,Samsung,005930.KS
4433.150429722253,4440.576142334853,4173.25048828125,4173.25048828125,55890000,0.0,0.0,Samsung,005930.KS
4299.48753913301,4306.91325163583,4098.9933015568595,4113.8447265625,28605000,0.0,0.0,Samsung,005930.KS
