Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2000-01-03,0.8483229279518127,,-0.053523379523018,535796800,Apple,AAPL,0,hold,0
2000-01-04,0.7768009305000305,,0.04357634906555197,512377600,Apple,AAPL,0,hold,0
2000-01-05,0.7881678342819214,0.8044305642445883,-0.0018945267085650475,778321600,Apple,AAPL,0,hold,0
2000-01-06,0.7199609875679016,0.7616432507832845,0.08431181597013704,767972800,Apple,AAPL,0,hold,0
2000-01-07,0.7540648579597473,0.7540645599365234,-0.02273583741315688,460734400,Apple,AAPL,0,hold,0
2000-01-10,0.740802526473999,0.7382761240005493,0.0322084249573753,505064000,Apple,AAPL,0,hold,0
2000-01-11,0.7029095888137817,0.7325923244158427,0.024156769840082415,441548800,Apple,AAPL,2,buy,1
2000-01-12,0.6607542037963867,0.7014887730280558,0.059206909513605965,976068800,Apple,AAPL,2,buy,1
2000-01-13,0.733223557472229,0.6989624500274658,-0.017170290562382284,1032684800,Apple,AAPL,2,buy,1
2000-01-14,0.7611693739891052,0.7183823784192404,-0.0033154092013780723,390376000,Apple,AAPL,0,hold,0
2000-01-18,0.7876941561698914,0.7606956958770752,-0.022261382083933468,459177600,Apple,AAPL,0,hold,0
2000-01-19,0.8075881600379944,0.7854838967323303,-0.007105270629487959,597643200,Apple,AAPL,1,sell,1
2000-01-20,0.8601645827293396,0.8184822996457418,0.015156923352269702,1831132800,Apple,AAPL,1,sell,1
2000-01-21,0.8435865044593811,0.837113082408905,0.02226143258805202,495924800,Apple,AAPL,1,sell,1
2000-01-24,0.8052200078964233,0.8363236983617147,0.016577800519459562,440876800,Apple,AAPL,0,hold,0
2000-01-25,0.8506909012794495,0.8331658045450846,-0.05494425246188772,497145600,Apple,AAPL,0,hold,0
2000-01-26,0.8350602388381958,0.8303237160046896,-0.0014208820346274242,367158400,Apple,AAPL,0,hold,0
2000-01-27,0.8336395621299744,0.8397969007492065,-0.008999798700828454,340144000,Apple,AAPL,0,hold,0
2000-01-28,0.7701688408851624,0.8129562139511108,0.04973440833655185,423348800,Apple,AAPL,0,hold,0
2000-01-31,0.7862732410430908,0.7966938813527426,-0.020840449729614297,701680000,Apple,AAPL,0,hold,0
2000-02-01,0.7597483992576599,0.7720634937286377,0.028419417772911237,318035200,Apple,AAPL,2,buy,1
2000-02-02,0.7488542795181274,0.7649586399396261,0.014684191008898395,464195200,Apple,AAPL,2,buy,1
