Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2012-05-18,38.22999954223633,,3.8199996948242188,573576400,Meta,META,0,hold,0
2012-05-21,34.029998779296875,,2.500000000000007,168192700,Meta,META,0,hold,0
2012-05-22,31.0,34.41999944051107,1.6100006103515625,101786600,Meta,META,0,hold,0
2012-05-23,32.0,32.34333292643229,-0.6299991607666016,73600000,Meta,META,0,hold,0
2012-05-24,33.029998779296875,32.00999959309896,-0.07999801635742188,50237200,Meta,META,0,hold,0
2012-05-25,31.90999984741211,32.313332875569664,0.9900016784667969,37149800,Meta,META,0,hold,0
2012-05-29,28.84000015258789,31.259999593098957,2.6399993896484375,78063400,Meta,META,0,hold,0
2012-05-30,28.190000534057617,29.64666684468587,0.5100002288818359,57267900,Meta,META,0,hold,0
2012-05-31,29.600000381469727,28.876667022705078,-1.0500011444091797,111639200,Meta,META,0,hold,0
2012-06-01,27.71999931335449,28.503333409627277,1.1700000762939524,41855500,Meta,META,0,hold,0
2012-06-04,26.899999618530277,28.073333104451496,0.30000114440917613,35230300,Meta,META,2,buy,1
2012-06-05,25.8700008392334,26.829999923706055,0.8299999237060547,42473400,Meta,META,2,buy,1
2012-06-06,26.809999465942383,26.52666664123535,-0.7399997711181641,61489200,Meta,META,2,buy,1
2012-06-07,26.309999465942383,26.329999923706055,0.6900005340576172,26159500,Meta,META,0,hold,0
2012-06-08,27.100000381469727,26.739999771118164,-0.5500011444091797,38034000,Meta,META,0,hold,0
2012-06-11,27.01000022888184,26.80666669209798,0.17000007629394176,28219600,Meta,META,0,hold,0
2012-06-12,27.399999618530277,27.170000076293945,0.07999992370605113,15816800,Meta,META,0,hold,0
2012-06-13,27.270000457763672,27.226666768391926,0.3899993896484375,17102800,Meta,META,0,hold,0
2012-06-14,28.290000915527344,27.65333366394043,-0.6400012969970668,16855000,Meta,META,0,hold,0
2012-06-15,30.01000022888184,28.52333386739095,-1.5,43563800,Meta,META,0,hold,0
2012-06-18,31.40999984741211,29.90333366394043,-1.4500007629394531,42978900,Meta,META,0,hold,0
2012-06-19,31.90999984741211,31.109999974568684,-0.3699989318847656,30849000,Meta,META,0,hold,0
2012-06-20,31.600000381469727,31.640000025431316,0.31999969482421875,15553600,Meta,META,0,hold,0
2012-06-21,31.84000015258789,31.78333346048991,-0.1700000762939453,21875300,Meta,META,0,hold,0
2012-06-22,33.04999923706055,32.16333325703939,-0.6399993896484375,74834000,Meta,META,0,hold,0
2012-06-25,32.060001373291016,32.31666692097982,0.7999992370605469,24352900,Meta,META,1,sell,1
2012-06-26,33.099998474121094,32.73666636149088,-0.4099998474121094,24858700,Meta,META,1,sell,1
2012-06-27,32.22999954223633,32.46333312988281,0.22999954223632812,28568000,Meta,META,1,sell,1
2012-06-28,31.36000061035156,32.22999954223633,0.5999984741210973,17713300,Meta,META,0,hold,0
2012-06-29,31.100000381469727,31.56333351135254,0.8199996948242188,19526900,Meta,META,0,hold,0
2012-07-02,30.770000457763672,31.076667149861652,0.4799995422363281,14122000,Meta,META,0,hold,0
2012-07-03,31.200000762939453,31.02333386739095,-0.29000091552734375,8763600,Meta,META,0,hold,0
2012-07-05,31.46999931335449,31.14666684468587,-0.14999961853026988,10032100,Meta,META,0,hold,0
2012-07-06,31.729999542236328,31.46666653951009,-0.28999900817871094,10945600,Meta,META,0,hold,0
2012-07-09,32.16999816894531,31.78999900817871,-0.06999969482421875,17785200,Meta,META,0,hold,0
2012-07-10,31.46999931335449,31.78999900817871,0.9600009918212926,14269500,Meta,META,0,hold,0
2012-07-11,30.96999931335449,31.536665598551433,0.5100002288818395,13030300,Meta,META,0,hold,0
2012-07-12,30.809999465942383,31.083332697550457,-0.10999870300292969,11300700,Meta,META,0,hold,0
2012-07-13,30.71999931335449,30.83333269755045,0.3200016021728551,8108300,Meta,META,0,hold,0
2012-07-16,28.25,29.926666259765625,2.25,24672100,Meta,META,0,hold,0
2012-07-17,28.09000015258789,29.019999821980793,0.3899993896484375,30438600,Meta,META,0,hold,0
2012-07-18,29.11000061035156,28.483333587646484,-0.8000011444091761,16841800,Meta,META,0,hold,0
2012-07-19,29.0,28.733333587646484,0.4099998474121094,13685100,Meta,META,0,hold,0
2012-07-20,28.76000022888184,28.956666946411133,0.2399997711181605,11869100,Meta,META,0,hold,0
2012-07-23,28.75,28.836666742960613,-0.6299991607666016,12390700,Meta,META,0,hold,0
2012-07-24,28.450000762939453,28.65333366394043,0.3699989318847656,11539800,Meta,META,0,hold,0
