Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action,coef_3,coef_7,coef_10,coef_15,coef_20,coef_30
2004-10-01,3.302123069763184,3.2649290561676025,-0.044334173202515,303934969,Google,GOOG,0,hold,0,0.036862134933471666,-0.06137704168047225,-0.03946875731150309,-0.03739719967265707,-0.04078791517960397,-0.0217700037462958
2004-10-04,3.3638908863067627,3.297971645991008,0.0047330856323242,261693228,Google,GOOG,0,hold,0,-0.07422208786010782,-0.0725779601505825,-0.049883890151977556,-0.037784754050956985,-0.04154428306378816,-0.02491069861820766
2004-10-05,3.4463319778442383,3.370781977971395,-0.0924029350280761,300887589,Google,GOOG,0,hold,0,-0.06176781654357864,-0.07093400274004259,-0.055774275461832695,-0.040467550466348846,-0.04253879137206495,-0.028380204069203344
2004-10-06,3.414202928543091,3.4081419308980307,0.0117061138153076,268900140,Google,GOOG,0,hold,0,-0.08244109153747557,-0.05157086508614677,-0.06113328138987225,-0.043344119354918775,-0.043686680626450924,-0.031269741763035076
2004-10-07,3.458287000656128,3.439607302347819,-0.0480690002441401,283643194,Google,GOOG,0,hold,0,0.03212904930114745,-0.041835996082850845,-0.06111671129862469,-0.0440332905276791,-0.04275552724537096,-0.033734640581854464
2004-10-08,3.430392026901245,3.4342939853668213,0.0246579647064209,222442656,Google,GOOG,0,hold,0,-0.044084072113037095,-0.04487459318978443,-0.05523455142974854,-0.046342213075239586,-0.042320746287964936,-0.03647375447409494
2004-10-11,3.368872880935669,3.4191839694976807,0.0433371067047119,210437827,Google,GOOG,0,hold,0,0.027894973754882806,-0.02549725941249296,-0.03633874257405599,-0.047051094390533774,-0.04092902886240105,-0.03831696745210093
2004-10-12,3.422173023223877,3.407145977020264,-0.0737240314483642,234419380,Google,GOOG,0,hold,0,0.06151914596557616,-0.0006049769265311085,-0.023109201590220122,-0.04274307659694128,-0.0389885057482803,-0.038586526433822564
2004-10-13,3.509346008300781,3.433463970820109,0.0602738857269291,397203256,Google,GOOG,0,hold,0,-0.05330014228820799,0.008133711133684432,-0.018704915046691875,-0.038494154123159555,-0.03707375526428222,-0.03888197168340825
2004-10-14,3.536742925643921,3.4894206523895264,-0.0246570110321044,209835578,Google,GOOG,0,hold,0,-0.08717298507690381,-0.008738694872174881,-0.014416817824045762,-0.03665709023947242,-0.036286349045602885,-0.03895865367551156
2004-10-15,3.589296102523804,3.545128345489502,0.0204238891601558,265150137,Google,GOOG,0,hold,0,-0.02739691734314009,-0.019498334612165144,-0.013449605305989562,-0.0325915441408262,-0.036292900955467874,-0.03895742094575479
2004-10-18,3.715075016021729,3.613704681396485,-0.1484439373016362,282061287,Google,GOOG,0,hold,0,-0.052553176879883236,-0.03958009992327014,-0.01722292502721152,-0.026311242449414587,-0.036875362145273295,-0.038545780228863805
2004-10-19,3.6846890449523926,3.663020054499308,0.0637609958648681,363918964,Google,GOOG,0,hold,0,-0.12577891349792475,-0.0645650523049492,-0.032494843006134075,-0.02785601249107948,-0.0376981584649337,-0.038749450533260864
2004-10-20,3.499134063720703,3.632966041564941,0.187795877456665,456613107,Google,GOOG,0,hold,0,0.03038597106933637,-0.056637723105294455,-0.03858455816904707,-0.029556250834203032,-0.036908568415725436,-0.038292300759865144
2004-10-21,3.7205541133880615,3.6347924073537192,-0.1240351200103764,585767401,Google,GOOG,0,hold,0,0.1855549812316894,-0.01481592995779861,-0.03146951198577884,-0.022893854811951355,-0.032963707154257255,-0.03599733073135904
2004-10-22,4.294652938842773,3.838113705317179,-0.0470738410949707,1481207196,Google,GOOG,0,hold,0,-0.22142004966735837,-0.017662395749773244,-0.03611043691635136,-0.023812394613748084,-0.031222859600134056,-0.035316752330423
2004-10-25,4.667504787445068,4.227570613225301,-0.2739729881286621,1315480331,Google,GOOG,0,hold,0,-0.5740988254547116,-0.09593332835606155,-0.06906198660532634,-0.04133080230964411,-0.03656949996948241,-0.038454377357595666
2004-10-26,4.5280280113220215,4.496728579203288,0.1130762100219726,895628499,Google,GOOG,0,hold,0,-0.3728518486022947,-0.1946703025272914,-0.1158823370933533,-0.06812869637877075,-0.04919411048554536,-0.04410107065304161
